split,primary_subdomain,pairs,split_pairs,percentage
it_test,ai_ml,3124,13851,22.55432820734965
train,ai_ml,24910,110452,22.55278310940499
validation,ai_ml,3117,13836,22.528187337380746
it_test,coding,656,13851,4.736120135730272
train,coding,5270,110452,4.771303371600333
validation,coding,664,13836,4.799074877132119
it_test,command_cli,176,13851,1.2706663778788536
train,command_cli,1397,110452,1.2648028102705247
validation,command_cli,171,13836,1.235906331309627
it_test,documentation,5452,13851,39.36177893292903
train,documentation,43624,110452,39.495889617209286
validation,documentation,5453,13836,39.411679676206994
it_test,hardware,680,13851,4.909392823622843
train,hardware,5450,110452,4.934270090174918
validation,hardware,690,13836,4.986990459670425
it_test,system,497,13851,3.5881885784419896
train,system,3985,110452,3.60790207510955
validation,system,497,13836,3.59207863544377
it_test,ui_localization,3266,13851,23.57952494404736
train,ui_localization,25816,110452,23.3730489262304
validation,ui_localization,3244,13836,23.446082682856318
